Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Lin, Fanfan; Liu, Junhua; Li, Xinze; Zhao, Shuai; Zhao, Bohui; Liao, Xinyuan; Ma, Hao; Zhang, Xin; ",Pe-gpt: A physics-informed interactive large language model for power converter modulation design,2024 IEEE Energy Conversion Congress and Exposition (ECCE),,,1744-1747,2024,IEEE
"Lin, Fanfan; Li, Xinze; Zhang, Xin; Ma, Hao; ",STAR: One-Stop Optimization for Dual-Active-Bridge Converter With Robustness to Operational Diversity,IEEE Journal of Emerging and Selected Topics in Power Electronics,12,3,2758-2773,2024,IEEE
"Li, Xinze; Lin, Fanfan; Zhang, Xin; Liu, Xueqi; Ma, Hao; ",Performance Modeling for Power Converters with Light Gradient Boosting Machine,2023 IEEE 2nd International Power Electronics and Application Symposium (PEAS),,,1176-1179,2023,IEEE
"Dong, Jiaxin; Pou, Josep; Li, Xinze; Mukherjee, Suvajit; Gupta, Amit K; Zeng, Yu; ",Hybrid duty ratio phase-shift modulation for a Si+ SiC neutral-point-clamped dual-active-bridge converter,IEEE Access,11,,129866-129881,2023,IEEE
"Lin, Fanfan; Li, Xinze; Zhang, Xin; Liu, Xueqi; Ma, Hao; ",Modeling of Dual Active Bridge Converter with Data Pruning for Optimal Current Stress Performance Under EPS Modulation,2023 IEEE 2nd International Power Electronics and Application Symposium (PEAS),,,2555-2558,2023,IEEE
"Zeng, Yu; Pou, Josep; Sun, Changjiang; Li, Xinze; Liang, Gaowen; Xia, Yang; Mukherjee, Suvajit; Gupta, Amit Kumar; ",Deep reinforcement learning-enabled distributed uniform control for a dc solid state transformer in dc microgrid,IEEE Transactions on Industrial Electronics,71,6,5818-5829,2023,IEEE
"Li, Xinze; Lin, Fanfan; Zhang, Xin; Ma, Hao; Blaabjerg, Frede; ",Data-light physics-informed modeling for the modulation optimization of a dual-active-bridge converter,IEEE Transactions on Power Electronics,39,7,8770-8785,2024,IEEE
"Li, Xinze; Lin, Fanfan; Sun, Changjiang; Zhang, Xin; Ma, Hao; Wen, Changyun; Blaabjerg, Frede; Mantooth, Homer Alan; ",A generic modeling approach for dual-active-bridge converter family via topology transferrable networks,IEEE Transactions on Industrial Electronics,72,2,1524-1536,2024,IEEE
"Xiao, Ziheng; Li, Xinze; Tang, Yi; ",A lightweight artificial neural network start-up controller for CLLC resonant converters,IEEE Transactions on Power Electronics,39,11,14775-14786,2024,IEEE
"Wang, Kaiyuan; Shang, Shuye; Wang, Yao; Li, Xinze; Yang, Yun; ",Octagonal Prism-Based Wireless Charging Container with Multiple Folded Coils for Even Magnetic Flux Distribution Inside,2024 IEEE 10th International Power Electronics and Motion Control Conference (IPEMC2024-ECCE Asia),,,3031-3035,2024,IEEE
"Li, Xinze; Sun, Zhen; Chen, Kaiwen; Yang, Yun; ",Artificial Intelligence Assisted Adaptive Controller Design with Position Robustness in a GaN-based Wireless Power Transfer System,2024 IEEE 7th International Electrical and Energy Conference (CIEEC),,,3444-3450,2024,IEEE
"Lin, Fanfan; Li, Xinze; Lei, Weihao; Rodriguez-Andina, Juan J; Guerrero, Josep M; Wen, Changyun; Zhang, Xin; Ma, Hao; ",PE-GPT: A new paradigm for power electronics design,IEEE Transactions on Industrial Electronics,72,4,3778-3791,2024,IEEE
"Li, Xinze; Lin, Fanfan; ","Next Generation of AI for Power Electronics: Explainable, Light, and Flexible",Zenodo,,https://doi.org/10.5281/zenodo.14036281,,2024,
"Liu, Junhua; Lin, Fanfan; Li, Xinze; Lim, Kwan Hui; Zhao, Shuai; ",Physics-informed LLM-agent for automated modulation design in power electronics systems,arXiv preprint arXiv:2411.14214,,,,2024,
"Li, Xinze; Lin, Fanfan; Mantooth, Homer Alan; Rodríguez-Andina, Juan José; ",AI Explainability for Power Electronics: From a Lipschitz Continuity Perspective,arXiv preprint arXiv:2501.09948,,,,2025,
"Lei, Weihao; Lin, Fanfan; Li, Xinze; Ma, Hao; Li, Rui; Xu, Lin; ",Attention Mechanism Empowered Dual Active Bridge Converter Performance Modeling with Enhanced Interpretability and Lighter Data,2024 IEEE Energy Conversion Congress and Exposition (ECCE),,,2946-2949,2024,IEEE
"Lei, Weihao; Lin, Fanfan; Li, Xinze; Bao, Xiaokun; Zhang, Xin; ",Graph Neural Network Based Performance Modeling for the Dual Active Bridge Converter with Operational Generalization,2025 IEEE Applied Power Electronics Conference and Exposition (APEC),,,1143-1147,2025,IEEE
"Li, Xinze; Sun, Zhen; Zhang, Xiangrong; Jiang, Yajie; Mao, Kezhi; Yang, Yun; ",A Robust Artificial Intelligence-Empowered Adaptive Proportional-Integral Control for Wireless Power Transfer Systems,IEEE Transactions on Industry Applications,,,,2025,IEEE
"Li, Xinze; Lin, Fanfan; Rodríguez-Andina, Juan J; Guerrero, Josep M; Mantooth, Homer Alan; Ma, Hao; ",NeurPecs: Physics-Informed AI-Based Adaptive Circuit Simulator for Power Converters,IEEE Transactions on Industrial Electronics,,,,2025,IEEE
"Liu, Junhua; Lin, Fanfan; Li, Xinze; Zhao, Shuai; Lim, Kwan Hui; ",Physics-Informed Autonomous LLM Agents for Explainable Power Electronics Modulation Design,Proceedings of the AAAI Conference on Artificial Intelligence,40,47,40063-40072,2026,
"Lin, Fanfan; Wilson, Peter; Li, Xinze; Mantooth, Alan; ",Toward Ethical AI in Power Electronics: How Engineering Practice and Roles Must Adapt,IEEE Power Electronics Magazine,13,1,30-37,2026,IEEE
"Lei, Weihao; Lin, Fanfan; Zhang, Xin; Li, Xinze; Ma, Hao; ",Circuit-to-Graph: Power Converters Modeling with Multi-Dimensional Generalization,IEEE Journal of Emerging and Selected Topics in Power Electronics,,,,2025,IEEE
"Lei, Weihao; Lin, Fanfan; Li, Xinze; Zhang, Xin; ",GNN4W: Graph Neural Network for Dual Active Bridge Converter Waveform Modeling with Operational Generalization,2025 IEEE Energy Conversion Conference Congress and Exposition (ECCE),,,1-4,2025,IEEE
"Wang, Zeheng; Chen, Xinghuan; Lin, Fanfan; Li, Xinze; Wang, Fangzhou; Guo, Songnan; Yu, Simin; Li, Liang; Huang, Jing‐Kai; ",Virtualization as a New Scaling Law for Semiconductor Devices Beyond Geometric Scaling,Small,22,17,e10426,2026,
"Cao, Hui; Zhu, Guangqi; Li, Xinze; Darvish, Peyman; Zhao, Yue; ",An Isolated Triple-Active-Bridge Converter with Highly Dynamic and Adaptive Power Decoupling Control,IEEE Transactions on Power Electronics,,,,2025,IEEE
"Lin, Fanfan; Wang, Zeheng; Ren, Chao; Li, Xinze; Rodríguez-Andina, Juan José; Vazquez, Sergio; Mantooth, H Alan; Skoglund, Mikael; van der Laan, Timothy; Usman, Muhammad; ",Quantum computing for smart grid,Nature Reviews Electrical Engineering,,,1-15,2026,Nature Publishing Group UK London
